group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,33,0,0.0,0,1,1,1,84.0
1,0,798.0,50,0,0.0,0,1,1,1,147.0
1,0,693.0,26,1,0.0,0,1,1,1,105.0
1,0,378.0,31,11,0.0,0,1,1,1,42.0
1,0,315.0,48,5,0.0,0,1,1,1,63.0
1,0,168.0,50,1,0.0,0,1,1,1,147.0
1,0,0.0,18,2,0.0,0,1,1,1,168.0
1,0,945.0,18,3,0.0,0,1,1,1,168.0
2,0,63.0,46,0,0.0,0,1,1,1,21.0
2,0,84.0,53,2,0.0,0,1,1,1,42.0
2,0,42.0,29,31,0.0,0,1,1,1,21.0
3,0,0.0,58,0,2079.0,0,1,1,1,210.0
4,4,21.0,29,20,0.0,0,1,1,1,21.0
4,2,21.0,29,18,0.0,0,1,1,1,21.0
4,5,0.0,37,0,63.0,0,1,1,1,42.0
4,0,0.0,11,1,0.0,0,1,1,1,42.0
4,3,21.0,29,15,0.0,0,1,1,1,21.0
5,0,0.0,58,0,0.0,0,1,1,1,1218.0
6,0,0.0,39,0,0.0,0,1,1,1,756.0
7,0,0.0,57,0,1155.0,0,1,1,1,1302.0
8,1,0.0,13,1,0.0,0,1,1,1,21.0
8,3,0.0,13,2,42.0,0,1,1,1,21.0
9,0,147.0,22,1,0.0,0,1,1,1,84.0
9,0,42.0,29,7,0.0,0,1,1,1,21.0
9,0,84.0,54,1,0.0,0,1,1,1,63.0
9,0,63.0,46,12,0.0,0,1,1,1,21.0
10,1,21.0,29,35,0.0,0,1,1,1,21.0
10,0,0.0,60,7,0.0,0,1,1,1,21.0
11,0,0.0,20,1,0.0,0,1,1,1,21.0
11,0,21.0,60,5,0.0,0,1,1,1,21.0
11,1,0.0,24,0,0.0,0,1,1,1,84.0
11,0,42.0,29,21,0.0,0,1,1,1,21.0
13,0,42.0,8,2,0.0,0,1,1,1,21.0
13,3,21.0,46,3,0.0,0,1,1,1,21.0
13,3,0.0,8,0,0.0,0,1,1,1,21.0
13,1,0.0,18,0,0.0,0,1,1,1,63.0
