group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,63.0,29,33,0.0,1,1,1,1,21.0
0,0,42.0,32,6,0.0,1,1,1,1,21.0
0,0,0.0,44,0,0.0,1,1,1,1,42.0
1,0,0.0,7,0,0.0,1,1,1,1,105.0
2,0,0.0,36,0,0.0,1,1,1,1,105.0
3,0,0.0,15,0,252.0,1,1,1,1,105.0
4,0,63.0,46,8,0.0,1,1,1,1,42.0
4,2,0.0,16,0,0.0,1,1,1,1,105.0
4,3,0.0,42,0,189.0,1,1,1,1,105.0
4,4,0.0,22,0,0.0,1,1,1,1,105.0
4,5,42.0,52,6,0.0,1,1,1,1,63.0
5,0,168.0,13,3,0.0,1,1,1,1,147.0
5,0,315.0,8,0,0.0,1,1,1,1,126.0
5,0,672.0,8,1,0.0,1,1,1,1,126.0
5,0,798.0,13,1,0.0,1,1,1,1,147.0
5,0,945.0,18,0,0.0,1,1,1,1,168.0
5,0,0.0,18,1,0.0,1,1,1,1,168.0
6,0,609.0,60,4,0.0,1,1,1,1,84.0
6,0,693.0,4,0,0.0,1,1,1,1,105.0
6,0,399.0,60,2,0.0,1,1,1,1,84.0
6,0,924.0,24,0,0.0,1,1,1,1,189.0
6,0,0.0,34,0,0.0,1,1,1,1,210.0
6,0,798.0,11,1,0.0,1,1,1,1,126.0
6,0,210.0,25,0,0.0,1,1,1,1,189.0
8,2,0.0,7,0,420.0,1,1,1,1,126.0
8,0,0.0,46,3,0.0,1,1,1,1,42.0
8,3,0.0,7,0,777.0,1,1,1,1,126.0
8,1,84.0,46,2,0.0,1,1,1,1,42.0
9,0,0.0,56,0,0.0,1,1,1,1,126.0
10,1,0.0,55,0,525.0,1,1,1,1,126.0
10,0,0.0,47,2,0.0,1,1,1,1,42.0
10,0,42.0,46,9,0.0,1,1,1,1,42.0
11,1,42.0,60,0,0.0,1,1,1,1,84.0
11,0,0.0,60,6,0.0,1,1,1,1,84.0
12,0,0.0,56,0,294.0,1,1,1,1,147.0
13,1,105.0,48,2,0.0,1,1,1,1,42.0
13,4,0.0,15,0,105.0,1,1,1,1,147.0
13,2,0.0,7,0,903.0,1,1,1,1,147.0
13,0,0.0,7,0,273.0,1,1,1,1,147.0
13,3,0.0,61,1,0.0,1,1,1,1,84.0
13,3,84.0,29,5,0.0,1,1,1,1,21.0
13,1,42.0,52,7,0.0,1,1,1,1,63.0
14,0,0.0,15,0,9513.0,1,1,1,1,147.0
15,0,8799.0,36,1,0.0,1,1,1,1,231.0
15,0,231.0,37,0,0.0,1,1,1,1,231.0
15,0,9513.0,52,9,0.0,1,1,1,1,63.0
15,0,0.0,38,0,0.0,1,1,1,1,231.0
15,0,9030.0,10,0,0.0,1,1,1,1,126.0
15,0,9156.0,60,7,0.0,1,1,1,1,84.0
15,0,462.0,57,0,0.0,1,1,1,1,8337.0
15,0,9576.0,4,1,0.0,1,1,1,1,105.0
16,0,0.0,39,0,2457.0,1,1,1,1,168.0
17,0,0.0,55,0,357.0,1,1,1,1,168.0
18,1,126.0,29,27,0.0,1,1,1,1,21.0
18,2,63.0,49,5,0.0,1,1,1,1,42.0
18,1,105.0,31,12,0.0,1,1,1,1,21.0
18,4,0.0,7,0,1050.0,1,1,1,1,168.0
18,2,105.0,46,10,0.0,1,1,1,1,42.0
18,0,63.0,49,6,0.0,1,1,1,1,42.0
18,0,21.0,29,49,0.0,1,1,1,1,21.0
18,1,63.0,49,4,0.0,1,1,1,1,42.0
18,0,42.0,31,3,0.0,1,1,1,1,21.0
18,3,0.0,7,0,105.0,1,1,1,1,168.0
18,0,105.0,50,3,0.0,1,1,1,1,63.0
18,2,0.0,50,1,0.0,1,1,1,1,63.0
18,1,0.0,50,2,0.0,1,1,1,1,63.0
19,0,0.0,15,0,9660.0,1,1,1,1,168.0
20,0,0.0,15,0,9345.0,1,1,1,1,168.0
20,1,0.0,60,5,0.0,1,1,1,1,84.0
21,0,0.0,15,0,8946.0,1,1,1,1,168.0
22,1,0.0,56,0,126.0,1,1,1,1,168.0
22,0,0.0,40,0,0.0,1,1,1,1,168.0
23,0,0.0,42,0,0.0,1,1,1,1,189.0
24,0,84.0,43,1,0.0,1,1,1,1,42.0
24,0,42.0,47,1,0.0,1,1,1,1,42.0
24,0,21.0,29,48,0.0,1,1,1,1,21.0
24,0,126.0,51,0,0.0,1,1,1,1,63.0
25,0,0.0,61,0,0.0,1,1,1,1,84.0
25,0,84.0,46,13,0.0,1,1,1,1,42.0
26,1,0.0,50,0,0.0,1,1,1,1,21.0
28,0,0.0,50,4,42.0,1,1,1,1,21.0
29,62,0.0,9,0,84.0,1,1,1,1,21.0
29,13,0.0,52,1,0.0,1,1,1,1,21.0
29,58,0.0,52,3,0.0,1,1,1,1,21.0
29,3,0.0,52,4,0.0,1,1,1,1,21.0
29,4,0.0,54,3,0.0,1,1,1,1,21.0
29,7,0.0,46,12,0.0,1,1,1,1,21.0
29,6,0.0,52,14,0.0,1,1,1,1,21.0
29,64,0.0,54,0,0.0,1,1,1,1,21.0
29,60,0.0,23,0,126.0,1,1,1,1,21.0
29,8,0.0,52,13,0.0,1,1,1,1,21.0
29,26,0.0,52,2,0.0,1,1,1,1,21.0
29,31,0.0,46,0,0.0,1,1,1,1,21.0
29,35,0.0,55,0,651.0,1,1,1,1,21.0
29,23,0.0,52,12,0.0,1,1,1,1,21.0
29,22,0.0,2,0,63.0,1,1,1,1,21.0
29,34,0.0,18,3,126.0,1,1,1,1,21.0
29,20,0.0,22,0,105.0,1,1,1,1,21.0
29,15,0.0,42,0,294.0,1,1,1,1,21.0
29,18,0.0,16,0,105.0,1,1,1,1,21.0
29,54,0.0,52,0,0.0,1,1,1,1,21.0
29,63,0.0,18,4,21.0,1,1,1,1,21.0
29,41,0.0,52,8,0.0,1,1,1,1,21.0
29,53,0.0,10,1,63.0,1,1,1,1,21.0
29,55,0.0,52,10,42.0,1,1,1,1,21.0
29,51,0.0,49,0,21.0,1,1,1,1,21.0
29,56,0.0,48,3,21.0,1,1,1,1,21.0
29,45,0.0,49,3,21.0,1,1,1,1,21.0
29,10,0.0,53,3,0.0,1,1,1,1,21.0
29,1,0.0,53,1,0.0,1,1,1,1,21.0
29,12,0.0,36,0,168.0,1,1,1,1,21.0
29,11,0.0,40,0,231.0,1,1,1,1,21.0
29,29,0.0,53,0,0.0,1,1,1,1,21.0
29,65,0.0,52,11,0.0,1,1,1,1,21.0
29,44,0.0,46,4,21.0,1,1,1,1,21.0
29,38,0.0,61,2,42.0,1,1,1,1,21.0
29,17,0.0,49,2,0.0,1,1,1,1,21.0
29,68,0.0,13,2,42.0,1,1,1,1,21.0
29,52,0.0,13,4,42.0,1,1,1,1,21.0
29,0,0.0,48,4,0.0,1,1,1,1,21.0
29,67,0.0,3,0,21.0,1,1,1,1,21.0
29,50,0.0,19,0,21.0,1,1,1,1,21.0
29,42,0.0,52,5,42.0,1,1,1,1,21.0
31,17,0.0,44,1,21.0,1,1,1,1,21.0
31,8,0.0,61,2,63.0,1,1,1,1,21.0
31,5,0.0,50,0,21.0,1,1,1,1,21.0
31,0,0.0,47,3,0.0,1,1,1,1,21.0
31,10,0.0,18,3,105.0,1,1,1,1,21.0
31,2,0.0,18,4,42.0,1,1,1,1,21.0
31,13,0.0,19,0,42.0,1,1,1,1,21.0
31,6,0.0,13,4,63.0,1,1,1,1,21.0
32,7,0.0,3,0,42.0,1,1,1,1,21.0
32,0,0.0,45,0,0.0,1,1,1,1,21.0
32,3,0.0,50,4,21.0,1,1,1,1,21.0
32,2,0.0,48,0,21.0,1,1,1,1,21.0
32,1,0.0,43,2,0.0,1,1,1,1,21.0
32,8,0.0,2,0,42.0,1,1,1,1,21.0
34,0,0.0,0,0,0.0,1,1,1,1,105.0
34,0,105.0,33,0,0.0,1,1,1,1,21.0
34,0,126.0,46,14,0.0,1,1,1,1,42.0
36,1,84.0,43,0,0.0,1,1,1,1,42.0
36,1,126.0,47,0,0.0,1,1,1,1,42.0
36,1,0.0,59,0,0.0,1,1,1,1,84.0
36,0,0.0,15,0,8715.0,1,1,1,1,231.0
36,1,168.0,29,61,0.0,1,1,1,1,21.0
37,0,63.0,47,5,0.0,1,1,1,1,42.0
37,0,105.0,43,3,0.0,1,1,1,1,42.0
37,0,42.0,29,39,0.0,1,1,1,1,21.0
37,0,147.0,59,1,0.0,1,1,1,1,84.0
38,0,126.0,4,5,0.0,1,1,1,1,105.0
38,0,84.0,46,7,0.0,1,1,1,1,42.0
39,0,0.0,15,0,9828.0,1,1,1,1,2793.0
40,0,0.0,39,0,2163.0,1,1,1,1,294.0
41,0,0.0,6,0,0.0,1,1,1,1,1113.0
41,0,1113.0,39,0,0.0,1,1,1,1,2163.0
42,0,0.0,55,0,0.0,1,1,1,1,357.0
43,0,0.0,29,30,0.0,1,1,1,1,21.0
43,3,21.0,29,57,0.0,1,1,1,1,21.0
43,1,21.0,29,59,0.0,1,1,1,1,21.0
43,2,0.0,2,0,0.0,1,1,1,1,42.0
44,0,0.0,31,1,0.0,1,1,1,1,21.0
44,1,0.0,3,0,63.0,1,1,1,1,42.0
45,0,0.0,9,0,0.0,1,1,1,1,42.0
46,14,0.0,29,9,0.0,1,1,1,1,21.0
46,6,0.0,8,2,0.0,1,1,1,1,42.0
46,5,0.0,60,1,42.0,1,1,1,1,42.0
46,11,0.0,15,0,15498.0,1,1,1,1,42.0
46,10,0.0,29,2,0.0,1,1,1,1,21.0
46,12,0.0,54,1,0.0,1,1,1,1,42.0
46,15,0.0,21,0,63.0,1,1,1,1,42.0
46,0,0.0,53,2,0.0,1,1,1,1,42.0
46,1,0.0,8,3,84.0,1,1,1,1,42.0
46,4,0.0,54,2,21.0,1,1,1,1,42.0
47,0,0.0,29,32,0.0,1,1,1,1,21.0
47,5,21.0,29,40,0.0,1,1,1,1,21.0
47,2,0.0,29,14,0.0,1,1,1,1,21.0
47,1,21.0,29,37,0.0,1,1,1,1,21.0
47,4,0.0,23,0,84.0,1,1,1,1,42.0
47,3,0.0,9,0,42.0,1,1,1,1,42.0
48,1,21.0,31,18,0.0,1,1,1,1,21.0
48,2,21.0,29,46,0.0,1,1,1,1,21.0
48,4,0.0,13,0,0.0,1,1,1,1,42.0
48,0,0.0,50,5,21.0,1,1,1,1,42.0
48,5,0.0,31,11,0.0,1,1,1,1,21.0
48,3,0.0,14,0,105.0,1,1,1,1,42.0
49,2,0.0,18,3,63.0,1,1,1,1,42.0
49,0,0.0,18,4,63.0,1,1,1,1,42.0
49,4,0.0,29,16,0.0,1,1,1,1,21.0
49,6,21.0,29,36,0.0,1,1,1,1,21.0
49,5,0.0,29,19,0.0,1,1,1,1,21.0
49,3,0.0,19,0,63.0,1,1,1,1,42.0
49,1,21.0,32,4,0.0,1,1,1,1,21.0
50,4,0.0,19,0,105.0,1,1,1,1,63.0
50,1,0.0,48,5,0.0,1,1,1,1,42.0
50,2,21.0,32,5,0.0,1,1,1,1,21.0
50,0,0.0,18,3,0.0,1,1,1,1,63.0
50,3,21.0,48,1,0.0,1,1,1,1,42.0
50,2,0.0,27,1,0.0,1,1,1,1,21.0
50,5,0.0,18,4,105.0,1,1,1,1,63.0
51,0,21.0,31,16,0.0,1,1,1,1,21.0
51,0,42.0,27,0,0.0,1,1,1,1,21.0
52,14,0.0,39,0,2688.0,1,1,1,1,63.0
52,8,0.0,62,0,0.0,1,1,1,1,63.0
52,10,0.0,15,0,42.0,1,1,1,1,63.0
52,0,0.0,4,4,0.0,1,1,1,1,63.0
52,7,42.0,29,66,0.0,1,1,1,1,21.0
52,5,0.0,14,0,42.0,1,1,1,1,63.0
52,12,0.0,17,0,63.0,1,1,1,1,63.0
52,6,42.0,29,43,0.0,1,1,1,1,21.0
52,13,0.0,22,1,63.0,1,1,1,1,63.0
52,2,0.0,12,0,0.0,1,1,1,1,63.0
52,4,0.0,4,3,0.0,1,1,1,1,63.0
52,1,0.0,4,2,0.0,1,1,1,1,63.0
52,11,0.0,13,0,42.0,1,1,1,1,63.0
53,3,0.0,21,0,0.0,1,1,1,1,63.0
53,0,0.0,40,0,168.0,1,1,1,1,63.0
53,2,0.0,36,0,105.0,1,1,1,1,63.0
53,1,0.0,10,1,0.0,1,1,1,1,63.0
54,1,0.0,22,1,0.0,1,1,1,1,63.0
54,2,0.0,13,4,84.0,1,1,1,1,63.0
54,0,0.0,17,0,0.0,1,1,1,1,63.0
