group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1
1,5,0,1,7,0
1,5,1,1,7,1
1,5,2,1,7,2
1,6,0,1,8,0
1,6,1,1,8,1
1,6,2,1,8,2
2,0,0,4,0,0
2,0,1,4,0,1
2,0,2,4,0,2
2,0,3,4,0,3
2,0,4,4,0,4
2,0,5,4,0,5
4,0,12,1,9,0
4,0,13,1,9,1
4,0,14,1,9,2
4,0,3,3,0,0
4,0,4,3,0,1
4,0,5,3,0,2
4,0,6,3,0,3
4,0,7,3,0,4
4,0,8,3,0,5
4,0,9,3,0,6
4,0,10,3,0,7
4,0,11,3,0,8
4,0,0,0,0,0
4,0,1,0,0,1
4,0,2,0,0,2
