n_group,n_partitions,num_div_y,num_div_x,device_group
0,16,42.0,105.0,0
1,2,63.0,105.0,0
2,1,693.0,1134.0,0
3,1,105.0,126.0,0
4,1,126.0,126.0,0
5,1,21.0,126.0,0
6,1,231.0,126.0,0
7,1,42.0,126.0,0
8,5,63.0,126.0,0
9,1,105.0,147.0,0
10,3,63.0,147.0,0
11,2,84.0,147.0,0
12,1,945.0,1470.0,0
13,1,903.0,1617.0,0
14,4,147.0,168.0,0
15,1,189.0,168.0,0
16,1,63.0,168.0,0
17,5,105.0,189.0,0
18,1,147.0,189.0,0
19,1,168.0,189.0,0
20,1,84.0,189.0,0
21,1,105.0,21.0,0
22,1,147.0,21.0,0
23,1,168.0,21.0,0
24,74,21.0,21.0,0
25,5,42.0,21.0,0
26,1,63.0,21.0,0
27,2,126.0,210.0,0
28,2,105.0,231.0,0
29,1,189.0,273.0,0
30,1,147.0,294.0,0
31,1,651.0,3192.0,0
32,1,1806.0,3234.0,0
33,1,210.0,336.0,0
34,1,210.0,378.0,0
35,1,210.0,399.0,0
36,2,231.0,399.0,0
37,1,252.0,399.0,0
38,1,168.0,42.0,0
39,28,21.0,42.0,0
40,11,42.0,42.0,0
41,4,63.0,42.0,0
42,1,84.0,42.0,0
43,2,231.0,441.0,0
44,1,315.0,609.0,0
45,1,168.0,63.0,0
46,1,189.0,63.0,0
47,21,21.0,63.0,0
48,15,42.0,63.0,0
49,1,63.0,63.0,0
50,4,84.0,63.0,0
51,1,504.0,714.0,0
52,1,462.0,756.0,0
53,1,5187.0,798.0,0
54,2,21.0,84.0,0
55,4,42.0,84.0,0
56,2,84.0,84.0,0
57,1,420.0,861.0,0
