group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
24,58,0.0,3,0,63.0,0,0,0,0,21.0
24,55,0.0,6,0,168.0,0,0,0,0,21.0
24,53,0.0,41,2,21.0,0,0,0,0,21.0
24,50,0.0,45,0,63.0,0,0,0,0,21.0
24,0,0.0,41,1,0.0,0,0,0,0,21.0
25,3,0.0,22,0,105.0,0,0,0,0,42.0
25,4,0.0,38,0,63.0,0,0,0,0,42.0
25,2,0.0,42,0,42.0,0,0,0,0,42.0
25,0,21.0,24,44,0.0,0,0,0,0,21.0
25,1,21.0,24,43,0.0,0,0,0,0,21.0
27,1,63.0,40,7,0.0,0,0,0,0,42.0
27,0,21.0,24,49,0.0,0,0,0,0,21.0
27,1,0.0,8,2,0.0,0,0,0,0,63.0
27,0,42.0,50,1,0.0,0,0,0,0,84.0
28,1,42.0,40,8,0.0,0,0,0,0,42.0
28,0,0.0,0,7,0.0,0,0,0,0,42.0
28,1,0.0,0,3,0.0,0,0,0,0,42.0
28,0,42.0,40,9,0.0,0,0,0,0,42.0
29,0,84.0,0,15,0.0,0,0,0,0,42.0
29,0,0.0,20,0,0.0,0,0,0,0,84.0
29,0,126.0,47,4,0.0,0,0,0,0,21.0
29,0,147.0,24,23,0.0,0,0,0,0,21.0
30,0,63.0,55,3,0.0,0,0,0,0,42.0
30,0,0.0,10,2,0.0,0,0,0,0,63.0
30,0,105.0,39,26,0.0,0,0,0,0,21.0
31,0,567.0,55,0,0.0,0,0,0,0,42.0
31,0,504.0,10,0,0.0,0,0,0,0,63.0
31,0,609.0,39,2,0.0,0,0,0,0,21.0
31,0,0.0,44,0,0.0,0,0,0,0,315.0
31,0,315.0,29,0,0.0,0,0,0,0,189.0
32,0,903.0,57,0,0.0,0,0,0,0,420.0
32,0,1764.0,24,54,0.0,0,0,0,0,21.0
32,0,1680.0,1,1,0.0,0,0,0,0,63.0
32,0,1743.0,47,16,0.0,0,0,0,0,21.0
32,0,1554.0,27,1,0.0,0,0,0,0,126.0
32,0,1323.0,43,1,0.0,0,0,0,0,231.0
32,0,0.0,13,0,0.0,0,0,0,0,903.0
33,0,0.0,17,1,0.0,0,0,0,0,105.0
33,0,168.0,24,19,0.0,0,0,0,0,21.0
33,0,105.0,0,13,0.0,0,0,0,0,42.0
33,0,147.0,47,2,0.0,0,0,0,0,21.0
34,0,0.0,17,2,0.0,0,0,0,0,105.0
34,0,168.0,24,17,0.0,0,0,0,0,21.0
34,0,147.0,47,0,0.0,0,0,0,0,21.0
34,0,105.0,0,4,0.0,0,0,0,0,42.0
35,0,84.0,4,0,0.0,0,0,0,0,126.0
35,0,42.0,48,6,0.0,0,0,0,0,42.0
35,0,21.0,24,69,0.0,0,0,0,0,21.0
36,1,126.0,17,4,0.0,0,0,0,0,105.0
36,1,42.0,50,3,0.0,0,0,0,0,84.0
36,0,42.0,50,0,0.0,0,0,0,0,84.0
36,0,126.0,17,0,0.0,0,0,0,0,105.0
36,1,21.0,24,73,0.0,0,0,0,0,21.0
36,0,21.0,24,71,0.0,0,0,0,0,21.0
37,0,63.0,0,9,0.0,0,0,0,0,42.0
37,0,105.0,14,1,0.0,0,0,0,0,147.0
37,0,21.0,24,72,0.0,0,0,0,0,21.0
37,0,42.0,47,1,0.0,0,0,0,0,21.0
38,0,0.0,32,0,231.0,0,0,0,0,168.0
39,7,0.0,41,2,0.0,0,0,0,0,21.0
40,1,0.0,24,64,0.0,0,0,0,0,21.0
40,4,21.0,24,42,0.0,0,0,0,0,21.0
40,9,0.0,24,63,0.0,0,0,0,0,21.0
40,8,0.0,24,67,0.0,0,0,0,0,21.0
40,10,0.0,24,15,0.0,0,0,0,0,21.0
40,3,21.0,24,12,0.0,0,0,0,0,21.0
40,5,21.0,24,65,0.0,0,0,0,0,21.0
40,7,0.0,39,22,0.0,0,0,0,0,21.0
40,0,21.0,24,13,0.0,0,0,0,0,21.0
40,2,0.0,39,20,0.0,0,0,0,0,21.0
40,6,21.0,24,14,0.0,0,0,0,0,21.0
41,0,0.0,47,20,0.0,0,0,0,0,21.0
41,1,0.0,38,0,0.0,0,0,0,0,63.0
41,3,0.0,15,0,42.0,0,0,0,0,63.0
41,0,21.0,24,68,0.0,0,0,0,0,21.0
41,2,0.0,6,0,105.0,0,0,0,0,63.0
42,0,0.0,45,0,84.0,0,0,0,0,84.0
43,0,0.0,28,1,0.0,0,0,0,0,105.0
43,1,0.0,28,0,0.0,0,0,0,0,105.0
43,1,189.0,39,17,0.0,0,0,0,0,21.0
43,0,105.0,56,0,0.0,0,0,0,0,84.0
43,0,189.0,39,16,0.0,0,0,0,0,21.0
43,1,105.0,56,1,0.0,0,0,0,0,84.0
44,0,0.0,30,0,0.0,0,0,0,0,147.0
44,0,147.0,11,1,0.0,0,0,0,0,84.0
44,0,273.0,24,52,0.0,0,0,0,0,21.0
44,0,231.0,48,3,0.0,0,0,0,0,42.0
45,0,0.0,32,0,756.0,0,0,0,0,168.0
46,0,63.0,24,45,0.0,0,0,0,0,21.0
46,0,105.0,50,2,0.0,0,0,0,0,84.0
46,0,84.0,39,1,0.0,0,0,0,0,21.0
47,13,0.0,41,3,42.0,0,0,0,0,21.0
47,11,0.0,3,0,42.0,0,0,0,0,21.0
47,8,0.0,53,0,5166.0,0,0,0,0,21.0
48,14,21.0,24,20,0.0,0,0,0,0,21.0
48,0,0.0,39,23,0.0,0,0,0,0,21.0
48,1,21.0,24,11,0.0,0,0,0,0,21.0
48,11,21.0,24,24,0.0,0,0,0,0,21.0
48,9,0.0,39,19,0.0,0,0,0,0,21.0
48,2,21.0,24,18,0.0,0,0,0,0,21.0
48,4,21.0,24,48,0.0,0,0,0,0,21.0
48,5,0.0,39,25,0.0,0,0,0,0,21.0
48,12,0.0,39,18,0.0,0,0,0,0,21.0
48,3,0.0,39,21,0.0,0,0,0,0,21.0
48,7,21.0,24,16,0.0,0,0,0,0,21.0
48,6,21.0,24,62,0.0,0,0,0,0,21.0
48,13,21.0,24,21,0.0,0,0,0,0,21.0
48,10,21.0,24,22,0.0,0,0,0,0,21.0
48,8,0.0,39,24,0.0,0,0,0,0,21.0
49,0,21.0,24,27,0.0,0,0,0,0,21.0
49,0,42.0,47,19,0.0,0,0,0,0,21.0
50,3,21.0,24,38,0.0,0,0,0,0,21.0
50,3,42.0,48,4,0.0,0,0,0,0,42.0
50,1,21.0,24,37,0.0,0,0,0,0,21.0
