group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
11,1,63.0,39,21,0.0,1,0,0,0,42.0
13,0,1239.0,17,2,0.0,1,0,0,0,189.0
13,0,861.0,34,0,0.0,1,0,0,0,378.0
13,0,0.0,57,0,0.0,1,0,0,0,861.0
13,0,1428.0,0,10,0.0,1,0,0,0,105.0
13,0,1533.0,39,13,0.0,1,0,0,0,42.0
14,1,0.0,53,0,399.0,1,0,0,0,168.0
14,2,0.0,36,1,0.0,1,0,0,0,168.0
14,0,0.0,35,0,0.0,1,0,0,0,168.0
14,3,0.0,36,0,0.0,1,0,0,0,168.0
15,0,0.0,2,0,966.0,1,0,0,0,168.0
16,0,0.0,2,0,189.0,1,0,0,0,168.0
17,2,0.0,0,4,0.0,1,0,0,0,105.0
17,2,105.0,39,4,0.0,1,0,0,0,42.0
17,0,0.0,52,0,399.0,1,0,0,0,189.0
17,4,0.0,12,0,1113.0,1,0,0,0,189.0
17,1,0.0,0,13,0.0,1,0,0,0,105.0
17,3,105.0,39,14,0.0,1,0,0,0,42.0
17,3,0.0,0,0,0.0,1,0,0,0,105.0
17,1,105.0,39,9,0.0,1,0,0,0,42.0
18,0,0.0,0,1,0.0,1,0,0,0,105.0
18,0,105.0,39,10,0.0,1,0,0,0,42.0
19,0,0.0,2,0,0.0,1,0,0,0,189.0
20,0,105.0,39,5,0.0,1,0,0,0,42.0
20,0,0.0,0,15,0.0,1,0,0,0,105.0
22,0,0.0,45,0,42.0,1,0,0,0,21.0
23,0,0.0,46,0,0.0,1,0,0,0,21.0
24,49,0.0,50,1,0.0,1,0,0,0,21.0
24,29,0.0,14,3,105.0,1,0,0,0,21.0
24,48,0.0,17,4,126.0,1,0,0,0,21.0
24,40,0.0,14,2,105.0,1,0,0,0,21.0
24,38,0.0,48,4,0.0,1,0,0,0,21.0
24,11,0.0,8,0,63.0,1,0,0,0,21.0
24,70,0.0,47,3,0.0,1,0,0,0,21.0
24,26,0.0,48,7,0.0,1,0,0,0,21.0
24,16,0.0,7,0,63.0,1,0,0,0,21.0
24,5,0.0,48,2,0.0,1,0,0,0,21.0
24,47,0.0,14,1,105.0,1,0,0,0,21.0
24,61,0.0,15,0,21.0,1,0,0,0,21.0
24,59,0.0,41,3,21.0,1,0,0,0,21.0
24,12,0.0,0,6,42.0,1,0,0,0,21.0
24,18,0.0,8,4,63.0,1,0,0,0,21.0
24,30,0.0,12,0,1407.0,1,0,0,0,21.0
24,69,0.0,48,6,0.0,1,0,0,0,21.0
24,71,0.0,50,0,0.0,1,0,0,0,21.0
24,50,0.0,42,0,21.0,1,0,0,0,21.0
24,37,0.0,48,10,0.0,1,0,0,0,21.0
24,14,0.0,53,0,735.0,1,0,0,0,21.0
24,73,0.0,50,3,0.0,1,0,0,0,21.0
24,65,0.0,1,0,42.0,1,0,0,0,21.0
24,39,0.0,47,6,0.0,1,0,0,0,21.0
24,45,0.0,39,1,0.0,1,0,0,0,21.0
24,32,0.0,47,18,0.0,1,0,0,0,21.0
24,56,0.0,47,13,42.0,1,0,0,0,21.0
24,31,0.0,47,14,0.0,1,0,0,0,21.0
24,62,0.0,4,0,63.0,1,0,0,0,21.0
24,46,0.0,52,0,693.0,1,0,0,0,21.0
24,3,0.0,48,1,0.0,1,0,0,0,21.0
24,13,0.0,36,1,336.0,1,0,0,0,21.0
24,20,0.0,8,1,63.0,1,0,0,0,21.0
24,36,0.0,48,13,0.0,1,0,0,0,21.0
24,2,0.0,48,11,0.0,1,0,0,0,21.0
24,24,0.0,8,3,63.0,1,0,0,0,21.0
24,43,0.0,55,2,21.0,1,0,0,0,21.0
24,27,0.0,47,19,0.0,1,0,0,0,21.0
24,72,0.0,47,1,0.0,1,0,0,0,21.0
24,51,0.0,49,0,0.0,1,0,0,0,21.0
24,44,0.0,19,0,147.0,1,0,0,0,21.0
24,66,0.0,55,1,63.0,1,0,0,0,21.0
24,22,0.0,37,0,336.0,1,0,0,0,21.0
24,4,0.0,48,14,0.0,1,0,0,0,21.0
24,42,0.0,0,8,42.0,1,0,0,0,21.0
24,21,0.0,17,0,126.0,1,0,0,0,21.0
25,1,0.0,55,2,0.0,1,0,0,0,21.0
25,3,0.0,45,0,21.0,1,0,0,0,21.0
25,2,0.0,15,0,42.0,1,0,0,0,21.0
25,0,0.0,19,0,126.0,1,0,0,0,21.0
26,0,0.0,46,0,21.0,1,0,0,0,21.0
27,1,0.0,1,1,0.0,1,0,0,0,105.0
27,1,105.0,40,10,0.0,1,0,0,0,42.0
27,0,0.0,37,0,0.0,1,0,0,0,210.0
27,1,147.0,24,15,0.0,1,0,0,0,21.0
28,0,84.0,48,0,0.0,1,0,0,0,63.0
28,1,84.0,48,8,0.0,1,0,0,0,63.0
28,0,0.0,56,1,0.0,1,0,0,0,84.0
28,0,147.0,39,23,0.0,1,0,0,0,42.0
28,1,147.0,39,24,0.0,1,0,0,0,42.0
28,1,0.0,56,0,0.0,1,0,0,0,84.0
29,0,0.0,10,0,0.0,1,0,0,0,147.0
29,0,147.0,54,1,0.0,1,0,0,0,84.0
30,0,189.0,47,20,0.0,1,0,0,0,63.0
30,0,147.0,41,0,0.0,1,0,0,0,42.0
30,0,0.0,11,1,0.0,1,0,0,0,147.0
32,0,2961.0,10,2,0.0,1,0,0,0,147.0
32,0,2058.0,44,0,0.0,1,0,0,0,609.0
32,0,3108.0,40,2,0.0,1,0,0,0,42.0
32,0,2667.0,30,0,0.0,1,0,0,0,294.0
32,0,0.0,31,0,1134.0,1,0,0,0,2058.0
32,0,3150.0,39,20,0.0,1,0,0,0,42.0
33,0,0.0,9,0,0.0,1,0,0,0,147.0
33,0,147.0,0,11,0.0,1,0,0,0,105.0
33,0,252.0,39,15,0.0,1,0,0,0,42.0
34,0,189.0,0,2,0.0,1,0,0,0,105.0
34,0,0.0,17,3,0.0,1,0,0,0,189.0
34,0,294.0,39,0,0.0,1,0,0,0,42.0
36,0,0.0,52,0,0.0,1,0,0,0,399.0
36,1,0.0,12,0,714.0,1,0,0,0,399.0
37,0,0.0,53,0,0.0,1,0,0,0,399.0
38,0,21.0,21,0,0.0,1,0,0,0,21.0
39,27,0.0,16,0,84.0,1,0,0,0,42.0
39,7,21.0,24,53,0.0,1,0,0,0,21.0
39,1,0.0,50,2,0.0,1,0,0,0,42.0
39,11,0.0,5,0,0.0,1,0,0,0,42.0
40,6,0.0,53,0,693.0,1,0,0,0,42.0
40,0,0.0,36,1,294.0,1,0,0,0,42.0
40,4,0.0,0,8,0.0,1,0,0,0,42.0
40,3,0.0,0,6,0.0,1,0,0,0,42.0
40,5,0.0,1,0,0.0,1,0,0,0,42.0
41,1,21.0,25,4,0.0,1,0,0,0,21.0
41,2,21.0,24,55,0.0,1,0,0,0,21.0
41,3,0.0,11,0,105.0,1,0,0,0,42.0
42,0,0.0,15,0,63.0,1,0,0,0,42.0
43,1,336.0,47,5,0.0,1,0,0,0,63.0
43,0,336.0,47,10,0.0,1,0,0,0,63.0
43,0,0.0,18,0,0.0,1,0,0,0,189.0
43,1,0.0,27,1,0.0,1,0,0,0,210.0
43,1,210.0,8,2,0.0,1,0,0,0,126.0
43,0,189.0,10,1,0.0,1,0,0,0,147.0
44,0,525.0,39,18,0.0,1,0,0,0,42.0
44,0,462.0,48,12,0.0,1,0,0,0,63.0
44,0,0.0,29,0,0.0,1,0,0,0,273.0
44,0,273.0,20,0,0.0,1,0,0,0,189.0
45,0,0.0,15,0,105.0,1,0,0,0,63.0
46,0,0.0,19,0,0.0,1,0,0,0,63.0
47,17,0.0,24,6,0.0,1,0,0,0,21.0
47,13,0.0,11,0,42.0,1,0,0,0,63.0
47,12,0.0,24,7,0.0,1,0,0,0,21.0
47,15,0.0,24,60,0.0,1,0,0,0,21.0
47,9,0.0,24,9,0.0,1,0,0,0,21.0
47,8,0.0,43,0,0.0,1,0,0,0,63.0
47,2,0.0,24,19,0.0,1,0,0,0,21.0
47,4,0.0,24,23,0.0,1,0,0,0,21.0
47,7,0.0,24,41,0.0,1,0,0,0,21.0
47,0,0.0,24,17,0.0,1,0,0,0,21.0
47,16,0.0,24,54,0.0,1,0,0,0,21.0
47,19,0.0,14,0,63.0,1,0,0,0,63.0
47,14,0.0,36,0,294.0,1,0,0,0,63.0
47,11,42.0,24,58,0.0,1,0,0,0,21.0
47,18,0.0,35,0,294.0,1,0,0,0,63.0
47,5,0.0,24,33,0.0,1,0,0,0,21.0
47,20,0.0,24,68,0.0,1,0,0,0,21.0
47,1,0.0,0,9,0.0,1,0,0,0,63.0
47,6,0.0,27,0,105.0,1,0,0,0,63.0
47,3,0.0,0,5,0.0,1,0,0,0,63.0
47,10,0.0,24,28,0.0,1,0,0,0,21.0
48,4,0.0,17,4,63.0,1,0,0,0,63.0
