n_group,n_partitions,num_div_y,num_div_x
264,1,18.0,303.0
265,2,63.0,87.0
266,1,108.0,51.0
267,1,66.0,84.0
268,1,69.0,81.0
269,1,75.0,75.0
270,7,66.0,87.0
271,1,69.0,84.0
272,1,129.0,45.0
273,1,93.0,63.0
274,1,75.0,84.0
275,1,138.0,48.0
276,1,222.0,30.0
277,1,132.0,51.0
278,1,75.0,93.0
279,1,21.0,336.0
280,1,75.0,96.0
281,1,42.0,174.0
282,2,75.0,99.0
283,1,45.0,165.0
284,2,42.0,177.0
285,1,45.0,168.0
286,1,54.0,141.0
287,1,90.0,87.0
288,1,45.0,177.0
289,2,48.0,168.0
290,1,75.0,108.0
291,1,51.0,159.0
292,1,48.0,171.0
293,1,24.0,342.0
294,1,153.0,54.0
295,1,81.0,102.0
296,1,42.0,198.0
297,1,75.0,111.0
298,1,48.0,177.0
299,2,75.0,114.0
300,2,75.0,117.0
301,1,45.0,195.0
302,1,33.0,267.0
303,1,42.0,210.0
304,2,78.0,117.0
305,1,24.0,387.0
306,1,87.0,117.0
307,1,123.0,84.0
308,2,66.0,162.0
309,1,1794.0,6.0
310,1,90.0,120.0
311,1,42.0,258.0
312,1,69.0,159.0
313,1,168.0,66.0
314,1,66.0,168.0
315,1,45.0,252.0
316,1,78.0,147.0
317,2,66.0,177.0
318,1,126.0,93.0
319,1,45.0,261.0
320,1,84.0,141.0
321,1,42.0,285.0
322,2,36.0,339.0
323,1,87.0,141.0
324,1,66.0,186.0
325,1,69.0,186.0
326,1,189.0,69.0
327,1,24.0,570.0
328,1,87.0,162.0
329,2,39.0,366.0
330,1,99.0,147.0
331,1,27.0,558.0
332,1,39.0,417.0
333,1,105.0,162.0
334,1,156.0,114.0
335,1,153.0,120.0
336,1,171.0,108.0
337,1,165.0,117.0
338,1,225.0,93.0
339,1,24.0,879.0
340,1,33.0,648.0
341,1,162.0,135.0
342,1,141.0,156.0
343,1,90.0,246.0
344,1,84.0,270.0
345,1,96.0,237.0
346,1,99.0,234.0
347,1,90.0,258.0
348,1,81.0,288.0
349,1,87.0,273.0
350,1,84.0,288.0
351,1,246.0,99.0
352,1,144.0,171.0
353,1,144.0,174.0
354,1,90.0,282.0
355,1,93.0,276.0
356,1,153.0,168.0
357,1,93.0,279.0
358,1,111.0,234.0
359,1,99.0,264.0
360,1,93.0,285.0
361,1,261.0,105.0
362,1,96.0,294.0
363,1,363.0,90.0
364,1,132.0,255.0
365,1,123.0,279.0
366,1,129.0,267.0
367,1,129.0,270.0
368,2,129.0,279.0
369,1,168.0,231.0
370,1,264.0,150.0
371,1,915.0,48.0
372,1,168.0,267.0
373,1,129.0,363.0
374,1,219.0,225.0
375,1,546.0,96.0
376,2,72.0,735.0
377,1,189.0,291.0
378,1,174.0,345.0
379,1,165.0,366.0
380,1,84.0,732.0
381,1,792.0,105.0
382,1,51.0,1779.0
383,1,87.0,1077.0
384,1,198.0,624.0
385,1,210.0,654.0
386,1,222.0,780.0
387,1,477.0,369.0
388,1,150.0,1413.0
389,1,177.0,1806.0
390,1,318.0,1059.0
391,1,282.0,1314.0
392,1,201.0,1956.0
393,1,678.0,1101.0
394,1,867.0,936.0
395,1,2544.0,399.0
396,1,480.0,2811.0
397,1,1221.0,3678.0
398,1,1956.0,3201.0
399,1,2598.0,4323.0
