area,x1,x2,y1,y2,x,y,color,label,dim_x,dim_y,dim_x_y_code,device_group,gi,gj
441.0,18375.0,18396.0,8211.0,8232.0,18385.5,8221.5,#acc2d9,0_2,21.0,21.0,21.0_21.0,0,24,26
441.0,17913.0,17934.0,8505.0,8526.0,17923.5,8515.5,#acc2d9,0_114,21.0,21.0,21.0_21.0,0,24,27
441.0,18837.0,18858.0,2163.0,2184.0,18847.5,2173.5,#acc2d9,0_53,21.0,21.0,21.0_21.0,0,24,28
441.0,15918.0,15939.0,9786.0,9807.0,15928.5,9796.5,#56ae57,0_130,21.0,21.0,21.0_21.0,1,29,15
441.0,2310.0,2331.0,8925.0,8946.0,2320.5,8935.5,#56ae57,0_50,21.0,21.0,21.0_21.0,1,29,16
441.0,17199.0,17220.0,8967.0,8988.0,17209.5,8977.5,#acc2d9,0_127,21.0,21.0,21.0_21.0,0,24,29
441.0,2415.0,2436.0,1554.0,1575.0,2425.5,1564.5,#56ae57,0_119,21.0,21.0,21.0_21.0,1,29,17
441.0,15393.0,15414.0,10122.0,10143.0,15403.5,10132.5,#56ae57,0_93,21.0,21.0,21.0_21.0,1,29,18
441.0,2415.0,2436.0,2142.0,2163.0,2425.5,2152.5,#56ae57,0_128,21.0,21.0,21.0_21.0,1,29,19
441.0,17031.0,17052.0,9072.0,9093.0,17041.5,9082.5,#acc2d9,0_13,21.0,21.0,21.0_21.0,0,24,30
441.0,17388.0,17409.0,8841.0,8862.0,17398.5,8851.5,#acc2d9,0_100,21.0,21.0,21.0_21.0,0,24,31
441.0,18144.0,18165.0,8358.0,8379.0,18154.5,8368.5,#acc2d9,0_44,21.0,21.0,21.0_21.0,0,24,32
441.0,16506.0,16527.0,861.0,882.0,16516.5,871.5,#acc2d9,0_122,21.0,21.0,21.0_21.0,0,24,33
441.0,16695.0,16716.0,966.0,987.0,16705.5,976.5,#acc2d9,0_31,21.0,21.0,21.0_21.0,0,24,34
441.0,19026.0,19047.0,2268.0,2289.0,19036.5,2278.5,#acc2d9,0_85,21.0,21.0,21.0_21.0,0,24,35
441.0,17556.0,17577.0,8736.0,8757.0,17566.5,8746.5,#acc2d9,0_107,21.0,21.0,21.0_21.0,0,24,36
441.0,18837.0,18858.0,7917.0,7938.0,18847.5,7927.5,#acc2d9,0_95,21.0,21.0,21.0_21.0,0,24,37
441.0,16800.0,16821.0,9219.0,9240.0,16810.5,9229.5,#acc2d9,0_65,21.0,21.0,21.0_21.0,0,24,38
441.0,18669.0,18690.0,8022.0,8043.0,18679.5,8032.5,#acc2d9,0_126,21.0,21.0,21.0_21.0,0,24,39
