143,  883,  117,  386
0,  106,  0,  495
165,  561,  0,  116
160,  557,  387,  495
616,  769,  31,  116
611,  743,  387,  476
107,  142,  115,  384
884,  921,  116,  362
562,  713,  0,  30
107,  164,  0,  61
770,  846,  74,  116
744,  813,  387,  431
107,  159,  438,  495
558,  713,  477,  495
558,  610,  441,  476
562,  615,  31,  63
770,  810,  54,  73
847,  880,  93,  116
814,  849,  387,  408
744,  777,  432,  454
714,  742,  16,  30
107,  111,  62,  114
770,  790,  43,  53
881,  901,  105,  115
884,  902,  363,  374
778,  796,  432,  442
814,  832,  409,  419
850,  868,  387,  396
744,  760,  455,  465
811,  828,  64,  73
847,  862,  83,  92
714,  727,  477,  486
714,  726,  7,  15
743,  756,  24,  30
154,  164,  109,  116
608,  615,  64,  72
562,  570,  64,  71
603,  610,  387,  395
602,  610,  433,  440
558,  567,  434,  440
562,  572,  111,  116
558,  568,  387,  392
610,  615,  106,  116
107,  112,  385,  395
107,  114,  430,  437
112,  119,  107,  114
152,  159,  430,  437
112,  119,  62,  69
157,  164,  62,  69
881,  889,  98,  104
884,  893,  375,  380
770,  779,  37,  42
814,  821,  420,  426
850,  857,  397,  403
903,  910,  363,  369
778,  785,  443,  449
902,  912,  111,  115
791,  801,  49,  53
155,  159,  387,  396
761,  768,  455,  460
829,  837,  69,  73
833,  841,  409,  413
744,  752,  466,  470
797,  805,  432,  436
811,  819,  59,  63
863,  871,  88,  92
728,  735,  477,  481
869,  874,  387,  392
727,  735,  12,  15
847,  853,  78,  82
143,  153,  114,  116
562,  565,  103,  110
714,  721,  487,  490
113,  120,  385,  388
161,  164,  101,  108
604,  609,  112,  116
558,  562,  393,  398
743,  749,  20,  23
596,  602,  387,  390
601,  607,  64,  67
608,  610,  424,  432
562,  564,  72,  80
558,  562,  429,  433
613,  615,  73,  80
120,  125,  111,  114
571,  578,  64,  66
596,  601,  437,  440
150,  156,  62,  64
608,  610,  396,  402
112,  114,  100,  106
714,  720,  4,  6
757,  763,  28,  30
115,  121,  435,  437
890,  896,  102,  104
112,  114,  70,  76
120,  126,  62,  64
148,  154,  387,  389
107,  109,  423,  429
157,  159,  423,  429
145,  151,  435,  437
162,  164,  70,  76
780,  785,  40,  42
911,  916,  363,  365
858,  863,  397,  399
786,  791,  443,  445
822,  827,  420,  422
568,  576,  439,  440
902,  905,  107,  110
614,  615,  98,  105
791,  794,  45,  48
569,  576,  387,  388
884,  888,  381,  383
770,  774,  34,  36
107,  108,  396,  402
769,  774,  455,  456
875,  880,  387,  388
573,  578,  115,  116
744,  747,  471,  473
833,  835,  414,  417
894,  896,  375,  378
565,  567,  72,  75
797,  799,  437,  440
558,  559,  423,  428
562,  562,  92,  102
158,  159,  397,  402
872,  876,  91,  92
842,  846,  409,  410
802,  806,  52,  53
829,  833,  67,  68
806,  810,  432,  433
913,  917,  114,  115
558,  559,  399,  403
820,  824,  62,  63
599,  603,  115,  116
591,  595,  439,  440
881,  885,  96,  97
903,  907,  370,  371
811,  815,  57,  58
566,  567,  106,  110
838,  842,  72,  73
854,  858,  81,  82
149,  153,  112,  113
863,  867,  86,  87
714,  718,  491,  492
159,  160,  104,  108
778,  782,  450,  451
727,  731,  10,  11
753,  757,  466,  467
814,  818,  427,  428
606,  607,  428,  432
728,  732,  482,  483
736,  738,  477,  479
152,  154,  390,  392
113,  115,  389,  391
850,  852,  404,  406
761,  763,  461,  463
568,  571,  437,  438
562,  562,  81,  88
163,  164,  97,  100
160,  161,  70,  73
714,  717,  2,  3
115,  116,  70,  73
126,  133,  114,  114
588,  595,  387,  387
153,  156,  65,  66
611,  612,  73,  76
597,  600,  64,  65
115,  116,  103,  106
110,  111,  426,  429
155,  156,  426,  429
571,  574,  67,  68
757,  760,  26,  27
606,  607,  396,  399
115,  118,  433,  434
610,  610,  403,  409
615,  615,  81,  87
121,  127,  385,  385
579,  584,  64,  64
906,  908,  109,  110
107,  107,  417,  422
606,  607,  68,  70
112,  113,  97,  99
139,  144,  437,  437
869,  871,  393,  394
890,  892,  100,  101
120,  121,  65,  67
150,  151,  432,  434
750,  751,  21,  23
822,  824,  423,  424
122,  127,  437,  437
858,  860,  400,  401
836,  838,  414,  415
569,  571,  389,  390
897,  899,  375,  376
163,  164,  77,  79
736,  738,  14,  15
786,  788,  446,  447
847,  849,  76,  77
769,  771,  457,  458
144,  149,  62,  62
608,  609,  109,  111
800,  802,  437,  438
610,  610,  418,  423
911,  913,  366,  367
722,  724,  487,  488
612,  613,  103,  105
795,  797,  47,  48
563,  565,  393,  394
127,  132,  62,  62
